frame_idx,entropy,all_zero,ascii
0,0.1607,0,0
1,0.2798,0,0
2,0.1607,0,0
3,0.3088,0,0
4,0.7829,0,0
5,1.2187,0,0
6,1.4444,0,1
7,0.5931,0,0
8,0.0000,1,0
9,0.0000,1,0
10,0.0000,1,0
11,0.0000,1,0
12,0.0000,1,0
13,0.0000,1,0
14,0.0000,1,0
15,0.0000,1,0
16,0.0000,1,0
17,0.0000,1,0
18,0.0000,1,0
19,0.2020,0,0
20,0.9119,0,0
21,1.3992,0,0
22,1.1237,0,0
23,1.1085,0,0
24,2.6779,0,1
25,3.4412,0,0
26,3.8100,0,1
27,2.4470,0,0
28,2.3168,0,0
29,2.5728,0,0
30,2.2567,0,0
31,2.9193,0,0
32,4.4846,0,0
33,3.9017,0,0
34,3.2463,0,0
35,3.0998,0,1
36,4.1939,0,0
37,3.2859,0,0
38,3.0895,0,0
39,4.6884,0,0
40,4.4213,0,0
41,4.3672,0,0
42,0.5454,0,0
43,2.0964,0,0
44,1.1244,0,0
45,1.6480,0,0
46,3.5804,0,1
47,3.9946,0,0
48,4.3192,0,0
49,3.2929,0,0
50,2.4993,0,0
51,3.0056,0,0
52,2.5369,0,0
53,2.2429,0,0
54,4.6174,0,1
55,4.3725,0,1
56,3.9968,0,0
57,4.0707,0,1
58,4.5022,0,1
59,3.9540,0,0
60,4.1657,0,0
61,5.0527,0,0
62,4.6032,0,0
63,4.5941,0,1
64,1.2671,0,0
65,2.2217,0,0
66,1.2715,0,0
67,2.0618,0,0
68,3.8865,0,0
69,4.8222,0,1
70,5.0381,0,1
71,3.2614,0,0
72,3.2101,0,0
73,3.0011,0,0
74,2.8308,0,0
75,2.7148,0,0
76,4.8527,0,0
77,4.8680,0,1
78,4.2749,0,1
79,3.8968,0,1
80,4.0275,0,0
81,3.5297,0,0
82,4.0498,0,0
83,4.5249,0,0
84,4.3130,0,0
85,4.2231,0,0
86,1.2840,0,0
87,2.2400,0,0
88,1.5236,0,0
89,2.1710,0,0
90,4.0051,0,0
91,5.0094,0,0
92,5.1517,0,1
93,3.9161,0,0
94,2.7047,0,0
95,3.3306,0,0
96,2.5123,0,0
97,2.9570,0,0
98,4.6103,0,0
99,4.7842,0,0
100,3.5653,0,0
101,3.5210,0,1
102,4.4266,0,1
103,4.2055,0,0
104,4.2654,0,0
105,4.5700,0,1
106,4.2100,0,0
107,4.1322,0,0
108,1.5551,0,0
109,2.1954,0,0
110,1.4795,0,0
111,1.9193,0,0
112,4.0346,0,0
113,4.9432,0,0
114,5.1908,0,1
115,3.7166,0,0
116,2.5129,0,0
117,3.6999,0,0
118,2.6123,0,0
119,2.4321,0,0
120,4.8368,0,1
121,4.3842,0,0
122,3.8332,0,1
123,3.5810,0,1
124,4.5184,0,0
125,3.9002,0,0
126,4.2506,0,0
127,4.5915,0,0
128,3.9950,0,0
129,4.0647,0,0
130,1.8229,0,0
131,2.0989,0,0
132,1.1287,0,0
133,2.0839,0,0
134,3.9778,0,0
135,4.6704,0,1
136,5.2072,0,0
137,3.2606,0,0
138,3.1615,0,0
139,3.5091,0,0
140,2.4763,0,0
141,2.7113,0,0
142,4.9361,0,1
143,4.7460,0,0
144,3.8997,0,1
145,3.8113,0,0
146,3.7581,0,0
147,3.0912,0,0
148,4.4350,0,0
149,4.5703,0,0
150,4.3138,0,0
151,3.2899,0,0
152,1.7011,0,0
153,2.3440,0,0
154,2.2013,0,0
155,1.4181,0,0
156,3.5302,0,0
157,4.5029,0,1
158,5.1166,0,1
159,2.7968,0,0
160,1.3662,0,0
161,1.5120,0,0
162,1.2669,0,0
163,0.9256,0,0
164,2.6307,0,0
165,2.3909,0,0
166,2.3159,0,1
167,1.2018,0,0
168,0.5458,0,0
169,1.1404,0,0
170,1.9985,0,0
